Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Santa Fe,820318000,E.E.S. ORIENTADA PART. INC. NRO 8043 PEDRO J. CRISTIA,Privado,Urbano,CAYETANO SILVA 1390 LISANDRO DE LA TORRE,S2000,341,4300871/6960,02/07/1976,1756,"$  35.120,00","$  35.120,00",8
Jujuy,380004202,INSTITUTO DE EDUCACION SUPERIOR N 7 POPULORUM PROGRESSIO,Privado,Urbano,MARIANO MORENO 1368 HERMINIO ARRIETA,4512,3886,424494,31/12/1985,3167,"$  63.340,00","$  63.340,00",4
Santa Fe,820190405,C.E.P.A. NRO 198,Estatal,Urbano,LAS HERAS 705 SAN MIGUEL,S2152,341,4710797,23/07/1994,4013,"$  80.260,00","$  80.260,00",7
Santa Cruz,780011900,JARDIN DE INFANTES Nº 10 GRAL. MARTIN MIGUEL DE GÜEMES,Estatal,Urbano,CAMPAÑA DEL DESIERTO 1438,Z9405,2902,491438,26/06/1991,4797,"$  95.940,00","$  95.940,00",6
Tucumán,900197900,INSTITUTO JUAN PABLO II,Privado,Urbano,Saenz Peña 576  SUR,T4000,0,4205711,17/07/1981,2358,"$  47.160,00","$  47.160,00",4
Buenos Aires,60446200,INSTITUTO SAN AGUSTIN,Privado,Urbano,AV.MEEKS 761,1834,11,4245-2965,25/06/1995,4408,"$  88.160,00","$  88.160,00",8
Entre Ríos,300087900,ESCUELA SECUNDARIA 5  SABA Z HERNANDEZ,Estatal,Rural,RIVADAVIA 767,E3156,3435,491061,03/04/1979,1557,"$  31.140,00","$  34.254,00",10
Santa Fe,820181201,N.R.E.S. ORIENTADA NRO 1033,Estatal,Urbano,CAMPO LA AMISTAD,S2521,3471,462744,22/09/1959,2633,"$  52.660,00","$  52.660,00",8
Córdoba,140021300,ESCUELA ESPECIAL DRA. CAROLINA ANA MOSCA,Estatal,Urbano,BRASIL  GUEMES B° GUEMES,X5000,351,4333446,28/10/1960,2703,"$  54.060,00","$  54.060,00",3
San Juan,700046600,WALT DISNEY,Estatal,Rural,RUTA PROV 155 S/N,J5425,264,4307614,04/11/1955,4895,"$  97.900,00","$  107.690,00",3
Entre Ríos,300125600,JUAN JOSE MILLAN 109,Estatal,Urbano,9 DE julio 2112,E3260,,03442-440740,14/06/1969,3666,"$  73.320,00","$  73.320,00",8
Santa Fe,820393203,CENTRO DE ALFABETIZACION NRO 128,Estatal,Urbano,ESPORA 488 LA PALOMA CENTRO DE ALFABETIZACION Nº128,S2124,341,4924111,25/08/1989,4142,"$  82.840,00","$  82.840,00",9
Catamarca,100005100,COLEGIO DEL CARMEN Y SAN JOSE,Privado,Urbano,JUNIN 719,K4700,383,4423727,18/10/1986,1614,"$  32.280,00","$  32.280,00",4
Buenos Aires,60287800,ESCUELA DE EDUCACIÓN PRIMARIA Nº26 MAGDALENA GÜEMES DE TEJADA,Estatal,Urbano,207 E/516 Y 516 BIS S/N,1903,221,491-6636,20/04/1994,2457,"$  49.140,00","$  49.140,00",4
La Rioja,460046900,COLEGIO PROVINCIAL DE PUNTA DE LOS LLANOS,Estatal,Rural,PUBLICA 12,F5384,,03826-429638,18/08/1967,3447,"$  68.940,00","$  75.834,00",6
Catamarca,100068907,JIN N°9 - ANEXO 07 EN ESCUELA PRIMARIA Nº12,Estatal,Rural,CALLE PRINCIPAL,K5341,0,0,19/11/1958,4747,"$  94.940,00","$  104.434,00",8
Ciudad de Buenos Aires,20047800,ESC. TEC. Nº 32 GRAL JOSE DE SAN MARTIN DE 14,Estatal,Urbano,TEODORO GARCIA 3899 CHACARITA,C1427,11,4551-9121,22/07/1980,1760,"$  35.200,00","$  35.200,00",9
Neuquén,580040900,INSTITUTO DE FORMACIÓN DOCENTE  7,Estatal,Urbano,ROCA JULIO ARGENTINO  669  AL LADO DEL CONCEJO DELIBERANTE,8347,2942,499352,09/12/1981,2499,"$  49.980,00","$  49.980,00",5
Misiones,540132300,ESC. Nº 834,Estatal,Urbano,PICADA BRASIL-LOTE 39-SECC 5   LIMITE ENTRE CAMPO GRANDE Y A. DEL VALLE,N3362,3755,15569153/304050/499567,20/04/1979,2110,"$  42.200,00","$  42.200,00",9
Tucumán,900070900,ESC. ESPECIAL INMACULADA CONCEPCION,Estatal,Urbano,JOSE HAIMES 2700 RIERA,T4146,,426753,13/11/1980,3741,"$  74.820,00","$  74.820,00",9
Buenos Aires,60069000,ESCUELA DE EDUCACIÓN PRIMARIA Nº37 NARCISO DEL VALLE,Estatal,Rural,CUARTEL XIII RUTA 30 KM 8 S/N  TOME Y TRAIGA,7635,2262,473261,03/12/1950,3766,"$  75.320,00","$  82.852,00",3
Santa Fe,820083500,JARDIN DE INFANTES NRO 46 DOCTOR ALBERT SCHWEITZER,Estatal,Urbano,MATIENZO 1298 AZCUENAGA,S2000,341,4727570,13/05/1954,3593,"$  71.860,00","$  71.860,00",6
Mendoza,500151100,ESTRELLITA LUMINOSA,Social/cooperativa,Urbano,LIHUE MARIANO MORENO MANZANA 32-LOTE 2 Y3,M5521,261,4-458686,15/03/1973,1862,"$  37.240,00","$  37.240,00",4
San Juan,700016800,ESCUELA DOCTOR ALFREDO CALCAGNO,Estatal,Rural,PASO DE LOS ANDES S/N,J5463,264,4302051,12/07/1953,4847,"$  96.940,00","$  106.634,00",10
Buenos Aires,60437201,CENTRO DE ADULTOS Nº718/04,Estatal,Urbano,presidente peron,1846,,,24/12/1994,3741,"$  74.820,00","$  74.820,00",4
Santiago del Estero,860197300,ESCUELA DEL NIVEL SECUNDARIO DE VILLA FIGUEROA Sede de Agrupamientos 86117 y 86118,Estatal,Rural,Ruta Nº 2 San Francisco Solano    Figueroa,G4353,,,21/10/1952,4666,"$  93.320,00","$  102.652,00",10
Tucumán,900003400,ESC. N° 50 - SANTA CECILIA,Estatal,Rural,Av. Cesareo Segura S/N   LOS ZAZOS,T4137,0,03892 427017,13/06/1964,4898,"$  97.960,00","$  107.756,00",4
Buenos Aires,60148800,INSTITUTO MODELO SAN MARTÍN DE LOS ANDES,Privado,Urbano,AVELLANEDA Y CABRERA 3654,1752,11,4482-0026,12/11/1962,4891,"$  97.820,00","$  97.820,00",9
Córdoba,140082200,ESCUELA PROVINCIA DE CORRIENTES,Estatal,Urbano,DOMINGO ZIPOLI 1358 ESCOBAR,X5009,351,4347840,25/10/1993,4403,"$  88.060,00","$  88.060,00",4
Ciudad de Buenos Aires,20027800,JIN C DE 21 (ESC. PRIM. Nº 14 DE 21),Estatal,Urbano,CAÑADA DE GOMEZ 4548 VILLA LUGANO,C1439,11,4602-1264,22/04/1994,4989,"$  99.780,00","$  99.780,00",3
Mendoza,500056700,VIRGEN DEL CARMEN DE CUYO,Privado,Urbano,SARMIENTO 240  CIUDAD DE MAIPU,M5515,261,4-972514,18/09/1954,4698,"$  93.960,00","$  93.960,00",7
Ciudad de Buenos Aires,20054900,CENS Nº 49 DE 05,Estatal,Urbano,BRANDSEN 2570 BARRACAS,C1287,11,4301-9057,03/09/1955,2798,"$  55.960,00","$  55.960,00",7
Santa Fe,820216201,C.E.R. NRO 258 JOSE HERNANDEZ,Estatal,Rural,COLONIA ALCORTA - 10 km al suroeste San Cristobal,S3071,3408,422092,28/04/1954,3260,"$  65.200,00","$  71.720,00",9
Corrientes,180076500,ESCUELA Nº 728 BERNARDINO VALLE,Estatal,Rural,RUTA PROV. Nº 39   ESTANCIA SAN JUAN BAUTISTA,W3302,3786,402747,29/12/1951,2642,"$  52.840,00","$  58.124,00",4
Santa Cruz,780016300,ESCUELA PRIMARIA PROVINCIAL Nº 13 ROBERTO JORGE PAYRO,Estatal,Urbano,MARTIN MARTINEZ 118 GOBERNADOR GREGORES,Z9011,297,4857949,15/04/1956,2166,"$  43.320,00","$  43.320,00",8
Buenos Aires,60561800,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº3 JAPÓN,Estatal,Urbano,MONSEÑOR BLOIS 1625,1663,11,4664-9321,19/02/1976,3001,"$  60.020,00","$  60.020,00",10
Formosa,340041800,EPEP Nº103 BARTOLOME MITRE,Estatal,Rural,EL COATI,P3606,1,1,28/01/1950,2968,"$  59.360,00","$  65.296,00",6
Santa Fe,820269200,ESCUELA NRO 6058 GENERAL GUILLERMO PINTO,Estatal,Rural,PRESIDENTE ROCA 384,S2104,3460,498206,20/09/1950,3680,"$  73.600,00","$  80.960,00",4
Santa Fe,820210400,ESCUELA NRO 342 TOMAS GODOY CRUZ,Estatal,Urbano,ZONA RURAL SUR,S3023,342,154363405,13/03/1956,4255,"$  85.100,00","$  85.100,00",10
Santiago del Estero,860135600,COLEGIO SAN GABRIEL,Privado,Urbano,BELGRANO S 1259 RAMON CARRILLO AV.BELGRANO 1259 (5),G4200,,422-5633,13/09/1950,2517,"$  50.340,00","$  50.340,00",3
Córdoba,140012800,DR. DALMACIO VELEZ SARSFIELD,Estatal,Rural,CALLE PUBLICA   AMBOY,X5199,-3546,15439857,12/04/1987,3881,"$  77.620,00","$  85.382,00",5
Jujuy,380007700,ESCUELA N 236 PROVINCIA DE SANTA FE,Estatal,Urbano,AV. BELGRANO 456 CENTRO,Y4610,388,4911578,17/02/1985,1688,"$  33.760,00","$  33.760,00",4
Catamarca,100016800,ESCUELA N° 159,Estatal,Rural,MINAS DE CULAMPAJA,K4751,,,10/07/1979,1769,"$  35.380,00","$  38.918,00",7
La Rioja,460085900,Esc.N°415,Estatal,Urbano,publica s/n  Anexo Angel Vicente Peñaloza,0,,,04/12/1978,4609,"$  92.180,00","$  92.180,00",4
Mendoza,500073400,1-601 DR. DIEGO PAROISSIEN,Estatal,Urbano,METRAUX S/N SANIDAD,M5500,261,4-445145,28/10/1990,3661,"$  73.220,00","$  73.220,00",10
Chaco,220043107,E.P.A Nº  29 MARIANO MORENO,Estatal,Urbano,PADRE HRYNIEWICKI S/N  AIPO FUNCIONA EN CTRO.INTEGRADOR COMUNIT-Bº AIPO,H3540,0,0,26/05/1994,2741,"$  54.820,00","$  54.820,00",9
Misiones,540175500,INST. KOLPING ESPERANZA,Privado,Rural,HAITÍ S/N   SAN FRANCISCO 9 DE JULIO Y HAITÍ S/N,3378,3757,481214/480910,23/09/1985,4105,"$  82.100,00","$  90.310,00",8
Mendoza,500251200,ESCUELA Nº 4-256,Estatal,Rural,CARRIL ZAPATA S/N - RUTA PROV. Nº 86,5561,,,03/11/1991,3557,"$  71.140,00","$  78.254,00",9
Santa Fe,820393020,CENTRO DE ALFABETIZACION NRO 104,Estatal,Urbano,DANIERI 3120,S2000,341,4620580,23/02/1988,3593,"$  71.860,00","$  71.860,00",6
Buenos Aires,60381600,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 NUESTRA SEÑORA DE LAS MERCEDES,Estatal,Urbano,304 E/364 Y 365 1438,1886,11,4258-4273,06/04/1950,4458,"$  89.160,00","$  89.160,00",8
La Pampa,420007700,Colegio Secundario Lucio Victorio Mansilla,Estatal,Urbano,Mansilla   340,L6387,2335,450043,24/07/1958,1606,"$  32.120,00","$  32.120,00",5
Ciudad de Buenos Aires,20132100,GRAL. MANUEL SAVIO,Estatal,Urbano,SAN PEDRITO 1137 FLORES,C1406,11,4612-6188/4611-2702,06/01/1962,3194,"$  63.880,00","$  63.880,00",4
Jujuy,380064300,ESCUELA DE GESTION PRIVADA NUEVA ESPERANZA,Privado,Urbano,VILLAFAÑE 554 ALBERDI,Y4600,388,4256457,30/11/1956,4027,"$  80.540,00","$  80.540,00",7
Santa Fe,820450304,GRADO RADIAL IV - ESCUELA NOCTURNA NRO 102,Estatal,Rural,ZONA RURAL   COLONIA MASCIAS,S3001,3405,15407876,15/07/1976,4192,"$  83.840,00","$  92.224,00",6
Santiago del Estero,860003301,AGRUPAMIENTO Nº 86160 ESC Nº 437,Estatal,Rural,Avellaneda,G4332,,,17/01/1975,4918,"$  98.360,00","$  108.196,00",6
Tucumán,900039100,ESC. DR. IGNACIO COLOMBRES,Estatal,Urbano,BALLESTEROS  LA REDUCCION TEMPLO NUESTRA SEÑORA DEL VALLE,T4129,,381-4913557,22/01/1984,3704,"$  74.080,00","$  74.080,00",9
Ciudad de Buenos Aires,20052400,MARIANO MORENO,Estatal,Urbano,MORENO 2104 BALVANERA,C1094,11,4952-1949,15/02/1977,3570,"$  71.400,00","$  71.400,00",3
San Juan,700021700,REPÚBLICA ARGENTINA,Estatal,Rural,BERMEJO S/N   BERMEJO,J5444,264,4302156,14/10/1969,1595,"$  31.900,00","$  35.090,00",8
Jujuy,380015000,ESCUELA N 254 EXODO JUJEÑO,Estatal,Rural,AV. EL EXODO,Y4631,388,155795388 / 155810731,30/04/1962,4614,"$  92.280,00","$  101.508,00",10
San Juan,700109900,CENTRO EDUCATIVO DE NIVEL SECUNDARIO C.E.N.S. SOLDADOS DE MALVINAS,Estatal,Rural,LAVALLE,,264,4307837,25/04/1975,3818,"$  76.360,00","$  83.996,00",8
Buenos Aires,60534400,ESCUELA DE EDUCACIÓN PRIMARIA Nº1 JOSÉ MANUEL ESTRADA,Estatal,Urbano,RIVADAVIA E /BELGRANO Y MITRE 600,6720,2325,44-3372,22/02/1981,2072,"$  41.440,00","$  41.440,00",6
Formosa,340026700,EPEP Nº152,Estatal,Rural,SOLDADO D.SALVATIERRA,P3626,,03717-15594092,10/02/1955,2651,"$  53.020,00","$  58.322,00",3
La Pampa,420103600,Escuela Nº 267,Estatal,Urbano,Calle 407   entre calles 442 y 440,6360,2302,562770,11/01/1972,3974,"$  79.480,00","$  79.480,00",6
Misiones,540085901,Aula Sat. Nº 01: ESC. ESPECIAL Nº 06,Estatal,Urbano,DR PRIETO  DR PRIETO,N3380,3751,421537/421538/450548,28/11/1990,4369,"$  87.380,00","$  87.380,00",3
Neuquén,580070900,CE.M.O.E. MARCELINO CHAMPAGNAT,Privado,Urbano,ANTARTIDA ARGENTINA 1774 ISLAS MALVINAS PREDIO ESCUELA DOMINGO SAVIO,8300,299,4435223,07/12/1989,3387,"$  67.740,00","$  67.740,00",3
Salta,660061700,ESCUELA DE EDUCACION TECNICA N° 3115 EX N° 5115-7117,Estatal,Urbano,HIPOLITO IRIGOYEN Y SAN LUIS  CENTRO,A4550,3878,573538,07/11/1982,1891,"$  37.820,00","$  37.820,00",5
Chaco,220020703,E.P.G.C.B.I.I. Nº 3 (EX-C.E.R.E.C.),Social/cooperativa,Rural,FUNCIONA EN E.E.P N°578-LOTE N° 91-PJE.LA ARGENTINA,,3644,226403,05/08/1971,1875,"$  37.500,00","$  41.250,00",7
Mendoza,500114000,1-362 JOSÉ CARLETTO,Estatal,Rural,LEZCANO S/N  SAN MARTIN Y LEZCANO,M5589,261,2418656,07/01/1973,2923,"$  58.460,00","$  64.306,00",9
Santa Fe,820397500,ESCUELA NRO 1134 ALMAFUERTE,Estatal,Rural,ZONA RURAL    COLONIA ALGARROBAL,S2342,3408,15671109,29/01/1952,4777,"$  95.540,00","$  105.094,00",5
Tierra del Fuego,940013205,C.E.N.S. Nº 1 - ANEXO WIKAM,Estatal,Urbano,CARLOS MOYANO 811 CENTRO,9420,2901,443298,05/10/1962,2316,"$  46.320,00","$  46.320,00",6
Mendoza,500027400,VIRGINIA CABRINI DE LOPEZ,Estatal,Urbano,VARASCHIN 95 I Bº PERDRIEL,M5509,261,0,21/09/1959,2394,"$  47.880,00","$  47.880,00",3
Mendoza,500083500,JOAQUIN V. GONZALEZ,Estatal,Rural,CALLE 7 S/N  LA CALIFORNIA,M5620,,02625-422599D,29/04/1981,3593,"$  71.860,00","$  79.046,00",4
Santa Cruz,780020200,ESCUELA PRIMARIA PROVINCIAL Nº 62 RENE GERONIMO FAVALORO,Estatal,Urbano,LUIS GOTTI 577 213 VIVIENDAS,Z9400,2966,442832,18/03/1991,2014,"$  40.280,00","$  40.280,00",3
Tucumán,900177752,C.E.B.A. N° 61,Estatal,Urbano,AV. SAN MARTIN 7  EN DIAGONAL A COMUNA SAN ANDRES,T4111,381,154882061,04/08/1967,2981,"$  59.620,00","$  59.620,00",7
San Juan,700089400,ESCUELA DE NIVEL INICIAL ENI N°41,Estatal,Urbano,RUTA PROVINCIAL 270,,,,23/02/1991,4532,"$  90.640,00","$  90.640,00",8
Santa Fe,820459200,I.S.P.I. NRO 4100 JUAN MARCOS,Privado,Urbano,PASAJE A F ROCA 6220,S3000,342,4892667,14/06/1980,4180,"$  83.600,00","$  83.600,00",10
Catamarca,100036300,ESCUELA N° 20  JOSE M.FIGUEROA CACERES,Estatal,Rural,CAÑADA DE IPIZCA,K4701,,3856977711,08/08/1956,2074,"$  41.480,00","$  45.628,00",4
Entre Ríos,300025200,FLORENTINO AMEGHINO 6,Estatal,Urbano,CARLOS REGGIARDO S/N  QUINTO CUARTEL,E3153,-3436,428186,28/06/1969,2550,"$  51.000,00","$  51.000,00",10
Salta,660085900,BUENA FE EX N°257,Estatal,Rural,RUTA PROV. N°54. MISION LA PAZ  MISION ABORIGEN SANTA VICTORIA ESTE,A4561,3873,453503,30/07/1981,2272,"$  45.440,00","$  49.984,00",6
Santa Fe,820019802,C.E.P.A. NRO 51 - ESCUELA NOCTURNA NRO 43,Estatal,Urbano,JUAN JOSE PASO 3478  INCLUCAMCO,S3000,342,4525787,14/05/1978,1866,"$  37.320,00","$  37.320,00",7
Santa Fe,820391606,CENTRO DE ALFABETIZACION NRO 52,Estatal,Urbano,BELGRANO CAPILLA VIRGEN DE ITATI,S3583,3482,494191,03/12/1986,3567,"$  71.340,00","$  71.340,00",10
Ciudad de Buenos Aires,20122400,INST. PRIVADO SUP. DEL HOSP. ITALIANO,Privado,Urbano,POTOSI 4032 ALMAGRO SUBSUELO,C1199,11,4959-0200 INT 8443,25/05/1968,3400,"$  68.000,00","$  68.000,00",4
Tucumán,900225600,ESC. DE NIVEL INICIAL JOSE INGENIEROS,Estatal,Urbano,AV. EUDORO AVELLANEDA S/N,4182,381,153007736,30/05/1962,2520,"$  50.400,00","$  50.400,00",9
Buenos Aires,60433900,JARDÍN DE INFANTES Nº908 ATILIO SANTIAGO GIRAUDO,Estatal,Rural,MIGUEL PLANES Y RIO NEGRO S/N  VIÑA,2754,2478,49-1141,21/11/1949,2782,"$  55.640,00","$  61.204,00",7
La Rioja,460050900,ESC.N°083,Estatal,Rural,MOLLACO,F5385,,,07/09/1958,4685,"$  93.700,00","$  103.070,00",6
Río Negro,620110301,CENTRO DE ESTUDIOS SUPERIORES anexo 01,Privado,Urbano,PASAJE GUTIERREZ 843,R8400,,,17/04/1958,3632,"$  72.640,00","$  72.640,00",5
Santa Fe,820433600,E.E.S. ORIENTADA NRO 541,Estatal,Urbano,CERRITO 5651 FONAVI PARQUE OESTE,S2000,341,4727558,16/09/1968,2091,"$  41.820,00","$  41.820,00",3
Buenos Aires,60206500,JARDÍN DE INFANTES ESTRELLITAS DE COLORES,Privado,Urbano,LA GUARDA 234,1882,11,4224-2709,10/05/1970,3245,"$  64.900,00","$  64.900,00",3
Santa Fe,820431900,E.E.S. ORIENTADA NRO 524,Estatal,Urbano,CALLE 91 425 CARMEN LUISA CALLE 12,S3560,3482,438891,08/12/1991,1940,"$  38.800,00","$  38.800,00",9
San Juan,700066322,PROPAA -ZONA ESTE-043,Estatal,Rural,RUTA 20 KM 4,J5411,,,23/03/1954,3628,"$  72.560,00","$  79.816,00",3
Tucumán,900085900,ESC. PARROQUIAL NTRA. SRA. DE LAS MERCEDES,Privado,Urbano,ALVARO GOMEZ LLUECA 481,T4172,0,0,24/11/1967,4630,"$  92.600,00","$  92.600,00",7
Santiago del Estero,860077700,ESCUELA Nº949,Estatal,Rural,KILOMETRO OCHENTA Y OCHO   KILOMETRO 88,G5250,,,30/12/1989,2233,"$  44.660,00","$  49.126,00",6
Mendoza,500072900,COLEGIO ESPAÑOL DE MENDOZA,Privado,Urbano,LAMADRID 1743,M5519,,4-322648,25/12/1951,3988,"$  79.760,00","$  79.760,00",8
Mendoza,500138502,MANUELA SAENZ,Estatal,Urbano,BELGRANO S/N,M5535,2623,494057,05/07/1963,4282,"$  85.640,00","$  85.640,00",8
San Juan,700092900,ESCUELA DE EDUCACIÓN SECUNDARIA HIPÓLITO VIEYTES,Estatal,Rural,JUAN JOSE BUSTOS S/N,J5442,264,4302404,21/08/1992,2368,"$  47.360,00","$  52.096,00",8
Buenos Aires,60274700,JARDÍN DE INFANTES MODELO COLORES,Privado,Urbano,128 E/ 15 Y 16 1548  BARRIO SAN JUAN,1884,11,4256-9325,19/03/1987,4805,"$  96.100,00","$  96.100,00",5
La Pampa,420012800,Escuela Nº 237 Agrónomo Juan Willamson,Estatal,Urbano,Calle 10  209 Rucci y Alborada Norte,L6360,2302,427447,24/07/1973,3756,"$  75.120,00","$  75.120,00",3
Santiago del Estero,860222100,Escuela N° 1244,Estatal,Urbano,El Rincón,,,,21/04/1976,3751,"$  75.020,00","$  75.020,00",6
Santiago del Estero,860143000,ESCUELA Nº 49 JOSE IGNACIO GORRITI,Estatal,Rural,EL BAGUAL   EL BAGUAL,4184,,,07/09/1972,2815,"$  56.300,00","$  61.930,00",6
Santiago del Estero,860088200,COLEGIO SECUNDARIO NUESTRA SEÑORA DEL PILAR Sede de Agrupamiento 86040,Estatal,Rural,M.BELGRANO S/N   VILLA RIO HONDO,G4225,,,06/02/1963,4363,"$  87.260,00","$  95.986,00",4
Santa Fe,820312200,ESCUELA PART. INC. NRO 1112 SANTA JUSTINA,Privado,Urbano,NECOCHEA 688,S2107,3402,461246,07/12/1976,4434,"$  88.680,00","$  88.680,00",5
Buenos Aires,60004800,INSTITUTO STELLA MARIS ADORATRICES,Privado,Urbano,ALMIRANTE BROWN 1074,7600,223,451-0256,30/03/1959,4750,"$  95.000,00","$  95.000,00",7
La Rioja,460020500,ESCUELA ESPECIAL N°379 AMOR Y ESPERANZA,Estatal,Urbano,GUILLERMO IRIBARREN S/N°,F5360,,03825-429625,10/10/1966,4049,"$  80.980,00","$  80.980,00",4
San Juan,700042500,COLEGIO PARROQUIAL SAN JUAN BOSCO NIVEL INICIAL Y PRIMARIA,Privado,Rural,RAWSON S/N,J5439,264,4971266,24/11/1983,2155,"$  43.100,00","$  47.410,00",9
Ciudad de Buenos Aires,20047600,LORENZO ANADON,Estatal,Urbano,TRAFUL 3847 NUEVA POMPEYA,C1437,11,4911-3154,17/08/1977,4537,"$  90.740,00","$  90.740,00",3
Buenos Aires,60327700,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 ESTADOS UNIDOS DE NORTE AMERICA,Estatal,Urbano,RAMOS MEJIA Y SAENZ PEÑA S/N  BARRIO ARCA,1742,237,466-5837,11/11/1985,2301,"$  46.020,00","$  46.020,00",3
Entre Ríos,300106500,HERMINIO J. QUIROS 24,Estatal,Rural,RUTA PROVINCIAL 11   DISTRITO SAUCE,E2843,0,0,28/03/1987,2063,"$  41.260,00","$  45.386,00",5
San Luis,740000900,ESC. N° 215 MINISTRO ANDRES MATILDE GARRO,Estatal,Rural,SOBRE RUTA PROVINCIAL Nº8   LAS LAGUNAS,D5773,,02652-15651778,28/03/1968,1886,"$  37.720,00","$  41.492,00",8
La Pampa,420019900,Escuela para Adultos Nº 5,Estatal,Urbano,Luther King 1785 Colonia Escalante Escuela Nº 37,L6300,2954,704943,12/02/1960,1677,"$  33.540,00","$  33.540,00",7
Santa Fe,820069502,NUCLEO II - JARDIN DE INFANTES NRO 96,Estatal,Urbano,AVELLANEDA 3051 VILLA TALLERES N. INICIAL ESC. NRO 688,S3020,342,4578971,29/09/1950,4117,"$  82.340,00","$  82.340,00",7
Catamarca,100040801,ESCUELA SECUNDARIA N°61 ANEXO -N°01- EN ESCUELA N°292 PCIA.DE TUCUMAN,Estatal,Rural,Nuestra Señora del Rosario s/n  Centro LA MERCED,K4718,0,0,07/01/1955,3463,"$  69.260,00","$  76.186,00",8
Mendoza,500007600,MADRE TERESA DE CALCUTA,Estatal,Urbano,COVIMET IV CHACABUCO S/N,M5525,261,4265887,13/06/1973,1712,"$  34.240,00","$  34.240,00",5
La Rioja,460000400,JARDIN DE INFANTES N°01 FEDERICO FROEBEL,Estatal,Urbano,SAN NICOLAS DE BARI Y PUERTO ARGENTINO  HOSPITAL,F5300,,0380-4425084,17/02/1985,4828,"$  96.560,00","$  96.560,00",8
Entre Ríos,300106300,ZAMBA DE VARGAS 23,Estatal,Rural,DISTRITO SAUCE,E2843,0,0,24/09/1956,3650,"$  73.000,00","$  80.300,00",9
Misiones,540134500,ESC. Nº 858: HEROES DE MALVINAS,Estatal,Urbano,SALTO ALEGRIA  980 LOS LAPACHOS,N3380,3751,450830/450902/604411,16/02/1986,2547,"$  50.940,00","$  50.940,00",7
Salta,660081300,JARDIN DE INFANTES  PINTURITAS  EX N°2553,Estatal,Urbano,FRANCISCO ARIAS 1550 VILLA ESTELA,A4400,387,4236098,01/08/1982,2586,"$  51.720,00","$  51.720,00",6
Córdoba,140096500,J.DE INF. REPUBLICA DE VENEZUELA,Estatal,Urbano,BOYERO 511 CHATEAU CARRERAS,X5003,351,4337999,13/09/1969,2923,"$  58.460,00","$  58.460,00",3
San Juan,700025800,COLEGIO PROVINCIAL DE SANTA LUCÍA,Estatal,Rural,4 DE DICIEMBRE  ROQUE SAENZ PEÑA B°ROQUE SAENZ PEÑA,J5411,264,4307695,01/01/1951,3344,"$  66.880,00","$  73.568,00",3
Santiago del Estero,860165802,AGRUPAMIENTO Nº 86044 ESC Nº 1055,Estatal,Rural,POZO CAVADO,G4200,,,16/03/1987,4037,"$  80.740,00","$  88.814,00",7
Misiones,540194903,NENI Nº 80 (Ext. ESC. Nº 37),Estatal,Urbano,Av. de los Suecos  La Picada,3315,3754,15478740,14/06/1953,3849,"$  76.980,00","$  76.980,00",9
Río Negro,620080901,CENTRO DE EDUCACION BASICA PARA ADULTOS NRO.36,Estatal,Rural,LOS MENUCOS 1741 ANAI MAPU CEM 147,R8324,299,4790397,25/03/1964,4935,"$  98.700,00","$  108.570,00",6
San Luis,740065679,ESCUELA PUBLICA DIGITAL DE ADULTOS HOUSSAY,Estatal,Urbano,CESAR MILSTEIN Y MIGUEL QUEVEDO,,266,266,02/11/1981,4671,"$  93.420,00","$  93.420,00",3
Chubut,260040100,Capitán Antonio Oneto,Estatal,Urbano,Simón de Alcazaba  Corradi,U9100,280,4421913,29/03/1984,4621,"$  92.420,00","$  92.420,00",9
Tucumán,900077100,COL. FASTA ANGEL MARIA BOISDRON OP,Privado,Urbano,LAMADRID 1048,T4107,381,4251880,19/01/1984,4097,"$  81.940,00","$  81.940,00",3
Entre Ríos,300058300,CORONEL BERNARDINO RAMIREZ 167,Estatal,Rural,COLONIA QUEBRACHO,E3117,,,20/10/1980,3204,"$  64.080,00","$  70.488,00",7
Santa Cruz,780006400,E.P.J.A. PRIMARIA Nº 13 NILDA ROTONDO,Estatal,Urbano,AV. JUAN DOMINGO PERON 1295 CENTRO,Z9040,2963,432697,20/02/1987,2198,"$  43.960,00","$  43.960,00",4
Tucumán,900159100,C.E.J.A. REMEDIOS E. DE SAN MARTÍN,Estatal,Urbano,PADRE SCROCCHI 259,T4145,0,0,06/07/1993,2473,"$  49.460,00","$  49.460,00",6
Misiones,540038900,ESC. Nº 211: SAN FCO. DE ASIS,Estatal,Urbano,A 5 KM R.14 POR RUTA PROV. Nº 22   R.22  PARAJE PIÑEIRO,N3364,376,4250561,12/07/1984,3084,"$  61.680,00","$  61.680,00",10
Tucumán,900073100,INST. PRIVADO RIVADAVIA,Privado,Urbano,AV. RIVADAVIA 1090 VILLA NUEVA,T4178,,4-940168,12/06/1962,2912,"$  58.240,00","$  58.240,00",6
